Date,Hour,Name,State,UserActivity
20200101,29655,SensorBaseBox,False,eat
20200101,29655,SensorArmario (2),False,eat
20200101,29655,SensorCama,False,eat
20200101,29655,SensorFogao,False,eat
20200101,29655,SensorMesaJantar (4),True,eat
20200101,29655,SensorCama (4),False,eat
20200101,29655,SensorMesaJantar (3),True,eat
20200101,29655,SensorCama (5),False,eat
20200101,29655,SensorMesaJantar,False,eat
20200101,29655,SensorCama (2),False,eat
20200101,29655,SensorSofa (1),False,eat
20200101,29655,SensorPia,False,eat
20200101,29655,SensorMesaJantar (2),False,eat
20200101,29655,SensorRack,False,eat
20200101,29655,SensorCama (1),False,eat
20200101,29655,SensorArmario,False,eat
20200101,29655,SensorRack (1),False,eat
20200101,29655,SensorArmario (1),False,eat
20200101,29655,SensorGeladeira,True,eat
20200101,29655,SensorMesaJantar (1),False,eat
20200101,29655,SensorSofa (2),False,eat
20200101,29655,SensorCama (3),False,eat
20200101,29655,SensorMesaCorredor,False,eat
20200101,29655,SensorSofa,False,eat
20200101,29655,SensorDeTestes,False,eat
20200101,29686,SensorBaseBox,False,eat
20200101,29686,SensorArmario (2),False,eat
20200101,29686,SensorCama,False,eat
20200101,29686,SensorFogao,False,eat
20200101,29686,SensorMesaJantar (4),False,eat
20200101,29686,SensorCama (4),False,eat
20200101,29686,SensorMesaJantar (3),True,eat
20200101,29686,SensorCama (5),False,eat
20200101,29686,SensorMesaJantar,False,eat
20200101,29686,SensorCama (2),False,eat
20200101,29686,SensorSofa (1),False,eat
20200101,29686,SensorPia,False,eat
20200101,29686,SensorMesaJantar (2),False,eat
20200101,29686,SensorRack,False,eat
20200101,29686,SensorCama (1),False,eat
20200101,29686,SensorArmario,False,eat
20200101,29686,SensorRack (1),False,eat
20200101,29686,SensorArmario (1),False,eat
20200101,29686,SensorGeladeira,False,eat
20200101,29686,SensorMesaJantar (1),False,eat
20200101,29686,SensorSofa (2),False,eat
20200101,29686,SensorCama (3),False,eat
20200101,29686,SensorMesaCorredor,False,eat
20200101,29686,SensorSofa,False,eat
20200101,29686,SensorDeTestes,False,eat
20200101,29716,SensorBaseBox,False,cook
20200101,29716,SensorArmario (2),False,cook
20200101,29716,SensorCama,False,cook
20200101,29716,SensorFogao,False,cook
20200101,29716,SensorMesaJantar (4),False,cook
20200101,29716,SensorCama (4),False,cook
20200101,29716,SensorMesaJantar (3),False,cook
20200101,29716,SensorCama (5),False,cook
20200101,29716,SensorMesaJantar,False,cook
20200101,29716,SensorCama (2),False,cook
20200101,29716,SensorSofa (1),False,cook
20200101,29716,SensorPia,False,cook
20200101,29716,SensorMesaJantar (2),False,cook
20200101,29716,SensorRack,False,cook
20200101,29716,SensorCama (1),False,cook
20200101,29716,SensorArmario,False,cook
20200101,29716,SensorRack (1),False,cook
20200101,29716,SensorArmario (1),False,cook
20200101,29716,SensorGeladeira,False,cook
20200101,29716,SensorMesaJantar (1),False,cook
20200101,29716,SensorSofa (2),False,cook
20200101,29716,SensorCama (3),False,cook
20200101,29716,SensorMesaCorredor,False,cook
20200101,29716,SensorSofa,False,cook
20200101,29716,SensorDeTestes,False,cook
20200101,29745,SensorBaseBox,False,cook
20200101,29745,SensorArmario (2),False,cook
20200101,29745,SensorCama,False,cook
20200101,29745,SensorFogao,False,cook
20200101,29745,SensorMesaJantar (4),True,cook
20200101,29745,SensorCama (4),False,cook
20200101,29745,SensorMesaJantar (3),False,cook
20200101,29745,SensorCama (5),False,cook
20200101,29745,SensorMesaJantar,False,cook
20200101,29745,SensorCama (2),False,cook
20200101,29745,SensorSofa (1),False,cook
20200101,29745,SensorPia,False,cook
20200101,29745,SensorMesaJantar (2),False,cook
20200101,29745,SensorRack,False,cook
20200101,29745,SensorCama (1),False,cook
20200101,29745,SensorArmario,False,cook
20200101,29745,SensorRack (1),False,cook
20200101,29745,SensorArmario (1),False,cook
20200101,29745,SensorGeladeira,False,cook
20200101,29745,SensorMesaJantar (1),False,cook
20200101,29745,SensorSofa (2),False,cook
20200101,29745,SensorCama (3),False,cook
20200101,29745,SensorMesaCorredor,False,cook
20200101,29745,SensorSofa,False,cook
20200101,29745,SensorDeTestes,False,cook
20200101,29775,SensorBaseBox,False,cook
20200101,29775,SensorArmario (2),False,cook
20200101,29775,SensorCama,False,cook
20200101,29775,SensorFogao,False,cook
20200101,29775,SensorMesaJantar (4),False,cook
20200101,29775,SensorCama (4),False,cook
20200101,29775,SensorMesaJantar (3),False,cook
20200101,29775,SensorCama (5),False,cook
20200101,29775,SensorMesaJantar,False,cook
20200101,29775,SensorCama (2),False,cook
20200101,29775,SensorSofa (1),False,cook
20200101,29775,SensorPia,False,cook
20200101,29775,SensorMesaJantar (2),False,cook
20200101,29775,SensorRack,False,cook
20200101,29775,SensorCama (1),False,cook
20200101,29775,SensorArmario,False,cook
20200101,29775,SensorRack (1),False,cook
20200101,29775,SensorArmario (1),False,cook
20200101,29775,SensorGeladeira,False,cook
20200101,29775,SensorMesaJantar (1),False,cook
20200101,29775,SensorSofa (2),False,cook
20200101,29775,SensorCama (3),False,cook
20200101,29775,SensorMesaCorredor,False,cook
20200101,29775,SensorSofa,False,cook
20200101,29775,SensorDeTestes,False,cook
20200101,29806,SensorBaseBox,False,cook
20200101,29806,SensorArmario (2),False,cook
20200101,29806,SensorCama,False,cook
20200101,29806,SensorFogao,False,cook
20200101,29806,SensorMesaJantar (4),False,cook
20200101,29806,SensorCama (4),False,cook
20200101,29806,SensorMesaJantar (3),False,cook
20200101,29806,SensorCama (5),False,cook
20200101,29806,SensorMesaJantar,False,cook
20200101,29806,SensorCama (2),False,cook
20200101,29806,SensorSofa (1),False,cook
20200101,29806,SensorPia,False,cook
20200101,29806,SensorMesaJantar (2),False,cook
20200101,29806,SensorRack,False,cook
20200101,29806,SensorCama (1),False,cook
20200101,29806,SensorArmario,False,cook
20200101,29806,SensorRack (1),False,cook
20200101,29806,SensorArmario (1),False,cook
20200101,29806,SensorGeladeira,False,cook
20200101,29806,SensorMesaJantar (1),False,cook
20200101,29806,SensorSofa (2),False,cook
20200101,29806,SensorCama (3),False,cook
20200101,29806,SensorMesaCorredor,False,cook
20200101,29806,SensorSofa,False,cook
20200101,29806,SensorDeTestes,False,cook
20200101,29835,SensorBaseBox,False,cook
20200101,29835,SensorArmario (2),False,cook
20200101,29835,SensorCama,False,cook
20200101,29835,SensorFogao,False,cook
20200101,29835,SensorMesaJantar (4),False,cook
20200101,29835,SensorCama (4),False,cook
20200101,29835,SensorMesaJantar (3),False,cook
20200101,29835,SensorCama (5),False,cook
20200101,29835,SensorMesaJantar,False,cook
20200101,29835,SensorCama (2),False,cook
20200101,29835,SensorSofa (1),False,cook
20200101,29835,SensorPia,False,cook
20200101,29835,SensorMesaJantar (2),False,cook
20200101,29835,SensorRack,False,cook
20200101,29835,SensorCama (1),False,cook
20200101,29835,SensorArmario,False,cook
20200101,29835,SensorRack (1),False,cook
20200101,29835,SensorArmario (1),False,cook
